Algorithm,Language,Size,Package,Core(s),GPU,Time(sec)
insertionsort,Haskell,25000,304.687154,160.0238035,0.12929266666666667,12.3339
insertionsort,Haskell,50000,610.7891031666667,321.9347128333333,0.23978666666666668,24.707566666666665
insertionsort,Haskell,100000,1236.9667665,652.3279115,0.47277800000000003,50.0146
insertionsort,Rust,25000,229.569987,121.79203283333334,0.09959933333333333,9.29191
insertionsort,Rust,50000,474.22254449999997,252.29200233333333,0.19208783333333335,19.1902
insertionsort,Rust,100000,986.0950015000001,524.338135,0.351898,39.92595
insertionsort,Swift,25000,348.0305686666666,185.53991699999997,0.11683150000000002,14.154816666666667
insertionsort,Swift,50000,1204.4935305,644.9411416666667,0.3996478333333333,48.85715
insertionsort,Swift,100000,323.0230715,165.652283,0.126282,13.537849999999999
mergesort,C,25000,3.1282756666666667,1.4830118333333333,0.019531333333333335,0.14051866666666665
mergesort,C,50000,3.9799703333333327,1.986562,0.018229166666666668,0.17127716666666667
mergesort,C,100000,5.897583,3.0281776666666667,0.014525999999999999,0.24841766666666665
mergesort,C#,25000,12.993001333333334,6.923360333333334,0.021728499999999998,0.526257
mergesort,C#,50000,13.878458666666667,7.409199833333333,0.009796000000000001,0.5654103333333333
mergesort,C#,100000,15.051493333333333,8.046020666666665,0.02063,0.609336
mergesort,C++,25000,13.096588166666669,6.842040833333333,0.03123983333333333,0.5411423333333333
mergesort,C++,50000,13.9584555,7.448323833333333,0.016743833333333333,0.5658096666666667
mergesort,C++,100000,16.532409666666666,8.816935333333333,0.019510666666666666,0.6717296666666667
mergesort,Go,25000,3.4964091666666666,1.6248576666666665,0.02621483333333333,0.158129
mergesort,Go,50000,3.6549071666666664,1.6477356666666667,0.011637166666666665,0.1720961666666667
mergesort,Go,100000,3.4621783333333336,1.5488076666666666,0.010844,0.16390333333333332
mergesort,Haskell,25000,310.5641685,163.10707616666667,0.16972850000000003,12.569783333333334
mergesort,Haskell,50000,616.8370566666666,325.17133566666666,0.23572816666666666,24.944666666666667
mergesort,Haskell,100000,1244.1108193333332,655.4477336666667,0.45361333333333337,50.33956666666668
mergesort,Rust,25000,223.2429301666667,118.52437350000001,0.0940145,9.028483333333334
mergesort,Rust,50000,463.8114115,246.61893716666668,0.1851195,18.770683333333334
mergesort,Rust,100000,957.1005554999999,508.78936749999997,0.358429,38.7585
mergesort,Swift,25000,365.45326750000004,194.89236466666668,0.13592533333333334,14.854849999999999
mergesort,Swift,50000,1253.2637331666667,671.2524821666667,0.40073633333333336,50.82651666666666
mergesort,Swift,100000,351.456268,180.5212095,0.1408995,14.695799999999998
oddevensort,C,25000,2.5331116666666667,1.2189838333333334,0.04605116666666667,0.10928966666666666
oddevensort,C,50000,3.3960163333333333,1.765432,0.022349166666666666,0.14014883333333333
oddevensort,C,100000,5.126281666666666,2.6765746666666668,0.015319666666666667,0.21255466666666667
oddevensort,C#,25000,13.137522333333331,7.000875000000001,0.015574,0.5330573333333333
oddevensort,C#,50000,13.796121999999999,7.3831378333333335,0.022206666666666666,0.5567898333333333
oddevensort,C#,100000,15.234375,8.168803,0.010498333333333333,0.6168123333333333
oddevensort,C++,25000,11.897247333333333,6.085418833333333,0.027283,0.5036221666666667
oddevensort,C++,50000,12.878143166666668,6.8753866666666665,0.019897666666666664,0.5215326666666666
oddevensort,C++,100000,15.173217666666666,8.078104666666666,0.017089999999999998,0.6170706666666667
oddevensort,Go,25000,3.5151773333333334,1.644226,0.0233255,0.15870483333333332
oddevensort,Go,50000,3.628255333333333,1.5198365,0.011291500000000001,0.18058483333333333
oddevensort,Go,100000,3.5735473333333334,1.6647746666666665,0.011617,0.16396433333333332
oddevensort,Haskell,25000,288.47715266666665,151.244873,0.17330916666666665,11.693966666666666
oddevensort,Haskell,50000,571.5144043333333,301.0356953333333,0.22902416666666667,23.12483333333333
oddevensort,Haskell,100000,1151.6214803333332,606.6010743333333,0.4185993333333333,46.60796666666667
oddevensort,Rust,25000,228.70697033333332,121.28322366666667,0.10995499999999998,9.260489999999999
oddevensort,Rust,50000,481.5786033333334,256.1017253333334,0.19857766666666668,19.471866666666667
oddevensort,Rust,100000,982.6804810000001,522.4654235,0.350555,39.77735
oddevensort,Swift,25000,344.3288166666666,183.537679,0.12103249999999999,14.00465
oddevensort,Swift,50000,6.794626833333333,3.4148558333333336,0.014302500000000001,0.2927456666666666
oddevensort,Swift,100000,319.395691,163.96499649999998,0.1249695,13.367049999999999
quicksort,C,25000,2.8182068333333334,1.3670755,0.03296916666666667,0.12199366666666667
quicksort,C,50000,3.5730285,1.8465373333333333,0.0152485,0.14887150000000002
quicksort,C,100000,5.462341333333334,2.8628743333333335,0.015075666666666668,0.22526766666666667
quicksort,C#,25000,12.939148166666667,6.856476000000001,0.01862583333333333,0.5277141666666667
quicksort,C#,50000,13.919036666666665,7.3750305,0.013366833333333333,0.5705606666666667
quicksort,C#,100000,15.364766333333334,8.201599,0.025248000000000003,0.6214613333333333
quicksort,C++,25000,12.280995666666668,6.192749,0.04709883333333333,0.5254286666666667
quicksort,C++,50000,13.1390685,6.906962,0.019042833333333332,0.5410016666666667
quicksort,C++,100000,16.046956333333334,8.473287000000001,0.028625333333333332,0.658008
quicksort,Go,25000,3.469167,1.6127624999999999,0.020772333333333334,0.158223
quicksort,Go,50000,3.6697998333333337,1.8174538333333334,0.012013666666666667,0.1583435
quicksort,Go,100000,3.543314666666667,1.6861773333333332,0.010579666666666668,0.15822066666666668
