Language , Program , Input Size , Package , Core(s) , GPU , DRAM? , Memory (KB) , Time (sec)
Haskell, mergesort_100000.sh, 100000, 1163.185913 , 481.845459 , 0.437073 , 0.000000 , 2181088, 58.4529 
Haskell, oddevensort_50000.sh, 50000, 532.495300 , 220.545715 , 0.227600 , 0.000000 , 1073500, 26.7586 
Haskell, oddevensort_100000.sh, 100000, 1068.408264 , 442.358398 , 0.431458 , 0.000000 , 1907312, 53.6893 
Haskell, quicksort_50000.sh, 50000, 561.807251 , 232.637390 , 0.244629 , 0.000000 , 1072248, 28.2488 
Haskell, quicksort_100000.sh, 100000, 1121.129639 , 464.344177 , 0.371887 , 0.000000 , 1714292, 56.3712 
Haskell, selectionsort_50000.sh, 50000, 600.845215 , 248.821838 , 0.256165 , 0.000000 , 1021556, 30.2029 
Haskell, selectionsort_100000.sh, 100000, 1228.587646 , 509.070190 , 0.463135 , 0.000000 , 2193520, 61.7335 
Rust, bubblesort_50000.sh, 50000, 446.396606 , 187.139160 , 0.195435 , 0.000000 , 2168880, 22.4321 
Rust, bubblesort_100000.sh, 100000, 918.328369 , 385.159424 , 0.355713 , 0.000000 , 4327596, 46.1484 
Rust, cyclesort_50000.sh, 50000, 442.961243 , 185.813416 , 0.190796 , 0.000000 , 2177332, 22.252 
Rust, cyclesort_100000.sh, 100000, 888.304382 , 372.378906 , 0.375671 , 0.000000 , 4322200, 44.6214 
Rust, heapsort_50000.sh, 50000, 439.962585 , 184.655640 , 0.193665 , 0.000000 , 2165700, 22.1036 
Rust, heapsort_100000.sh, 100000, 857.931030 , 359.576721 , 0.359863 , 0.000000 , 4315324, 43.0977 
Rust, insertionsort_50000.sh, 50000, 440.981262 , 184.971741 , 0.197693 , 0.000000 , 2181808, 22.1591 
Rust, insertionsort_100000.sh, 100000, 875.106323 , 366.798706 , 0.350586 , 0.000000 , 4323808, 43.9599 
Rust, mergesort_50000.sh, 50000, 448.929810 , 188.464355 , 0.189453 , 0.000000 , 2206272, 22.5484 
Rust, mergesort_100000.sh, 100000, 850.365234 , 356.326843 , 0.359314 , 0.000000 , 4355696, 42.7159 
Rust, oddevensort_50000.sh, 50000, 466.133179 , 195.619812 , 0.204895 , 0.000000 , 2174064, 23.4193 
Rust, oddevensort_100000.sh, 100000, 895.689575 , 375.372986 , 0.366211 , 0.000000 , 4317168, 44.9914 
