Language,Algorithm,Size,Package,Core(s),GPU,Memory(MB),Time(sec)
Rust,cyclesort,25000,222.190979,93.305237,0.107666,1083.328,11.1657
Rust,heapsort,25000,213.678223,89.755310,0.101196,1076.628,10.7349
Rust,insertionsort,25000,217.730896,91.451050,0.107727,1081.496,10.9374
Rust,mergesort,25000,217.482788,91.177490,0.102783,1103.04,10.9411
Rust,oddevensort,25000,211.289124,88.644592,0.106384,1080.396,10.6192
Rust,quicksort,25000,205.643738,86.345581,0.096619,1091.6,10.335
Rust,selectionsort,25000,215.316223,90.343994,0.112732,1081.888,10.8148
Swift,bubblesort,25000,325.764099,138.326843,0.118225,144.132,16.3702
Swift,cyclesort,25000,337.141602,143.105896,0.129700,143.644,16.9434
Swift,heapsort,25000,346.933044,147.283203,0.143372,147.368,17.4306
Swift,insertionsort,25000,336.700134,142.998718,0.137878,144.376,16.9214
Swift,mergesort,25000,348.088440,147.615662,0.141907,145.312,17.4963
Swift,oddevensort,25000,336.814453,142.945435,0.141113,143.6,16.9266
Swift,quicksort,25000,346.667908,147.107483,0.152283,145.28,17.429
Swift,selectionsort,25000,336.830261,142.969116,0.134155,144.424,16.9375
C,bubblesort,25000,1.975586,0.803955,0.015076,38.448,0.099214
C,cyclesort,25000,2.949280,1.099426,0.020142,38.708,0.158734
C,heapsort,25000,1.914185,0.773376,0.014832,37.42,0.098152
C,insertionsort,25000,2.610718,0.976013,0.014343,37.452,0.141389
C,mergesort,25000,2.359741,0.952332,0.010925,39.496,0.122301
C,oddevensort,25000,2.730469,1.117981,0.014526,38.708,0.13704
C,quicksort,25000,2.277405,0.939941,0.016235,38.324,0.11673
C,selectionsort,25000,2.567688,1.059998,0.015198,37.972,0.128576
C++,bubblesort,25000,10.761292,4.501160,0.018738,85.32,0.544915
C++,cyclesort,25000,11.111389,4.650208,0.031006,85.224,0.55921
C++,heapsort,25000,10.877380,4.592041,0.018066,85.188,0.548053
C++,insertionsort,25000,10.777710,4.541321,0.028442,85.364,0.540701
C++,mergesort,25000,12.264587,5.180725,0.021179,87.576,0.616065
C++,oddevensort,25000,10.847656,4.542786,0.019409,86.428,0.547391
C++,quicksort,25000,10.869934,4.582153,0.022034,85.512,0.545778
C++,selectionsort,25000,10.774292,4.505798,0.016724,85.604,0.545894
C#,bubblesort,25000,12.449219,5.230957,0.020020,67.364,0.627314
C#,cyclesort,25000,12.221863,5.165039,0.014343,63.612,0.616239
C#,heapsort,25000,12.132324,5.127808,0.011169,67.468,0.612081
C#,insertionsort,25000,12.550110,5.295715,0.021790,61.372,0.631915
C#,mergesort,25000,12.048645,5.095459,0.013367,67.452,0.605217
C#,oddevensort,25000,12.748901,5.388428,0.019653,65.524,0.642242
C#,quicksort,25000,12.219116,5.154663,0.013428,63.536,0.617191
C#,selectionsort,25000,12.756104,5.368652,0.013245,63.216,0.643644
Go,bubblesort,25000,3.685852,1.391541,0.013062,57.016,0.198511
Go,cyclesort,25000,3.066162,1.132141,0.007812,54.852,0.16721
Go,heapsort,25000,3.988831,1.558289,0.007996,57.152,0.210048
Go,insertionsort,25000,3.508728,1.386169,0.008179,56.468,0.182885
Go,mergesort,25000,3.276733,1.296509,0.008301,57.74,0.171514
Go,oddevensort,25000,3.207764,1.195190,0.013123,55.076,0.171114
Go,quicksort,25000,3.604370,1.458557,0.008545,59.164,0.183275
Go,selectionsort,25000,3.500916,1.398193,0.011047,54.932,0.180985
Haskell,bubblesort,25000,290.174988,120.435791,0.144043,628.784,14.5863
Haskell,cyclesort,25000,541.317932,224.244019,0.229065,679.08,27.2115
Haskell,heapsort,25000,283.894287,117.581787,0.132385,635.296,14.2761
Haskell,insertionsort,25000,276.228210,114.388367,0.132507,669.908,13.8843
Haskell,mergesort,25000,286.029846,118.302002,0.139832,615.024,14.3818
Haskell,oddevensort,25000,265.672852,109.953735,0.133484,671.316,13.3573
Haskell,quicksort,25000,278.868652,115.604797,0.129456,601.164,14.0148
Haskell,selectionsort,25000,302.142212,125.145630,0.144104,667.12,15.1908
Rust,bubblesort,25000,212.897949,89.273438,0.107544,1081.44,10.7022
Rust,cyclesort,25000,216.459045,90.837585,0.105103,1078.664,10.8808
Rust,heapsort,25000,208.981323,87.730530,0.099854,1086.152,10.5012
Rust,insertionsort,25000,212.313965,89.087952,0.104736,1086.496,10.6664
Rust,mergesort,25000,219.297791,92.112061,0.104309,1108.924,11.0192
Rust,oddevensort,25000,222.718262,93.525757,0.108521,1078.48,11.1893
Rust,quicksort,25000,207.080505,86.985474,0.104187,1091.444,10.3999
Rust,selectionsort,25000,222.561829,93.364014,0.114075,1073.2,11.1863
Swift,bubblesort,25000,336.555420,142.813843,0.128479,144.172,16.9206
Swift,cyclesort,25000,324.599792,137.804810,0.126343,143.36,16.3121
Swift,heapsort,25000,340.381287,144.394836,0.142090,147.168,17.1122
Swift,insertionsort,25000,336.427368,142.828247,0.144592,144.36,16.9089
Swift,mergesort,25000,344.285461,146.201050,0.134766,145.532,17.2983
Swift,oddevensort,25000,334.086548,141.805176,0.132935,143.796,16.7986
Swift,quicksort,25000,359.676453,152.540405,0.142822,145.216,18.0886
