Algorithm,Language,Size,Package,Core(s),GPU,Memory(MB),Time(sec)
insertionsort,C++,25000,11.236897833333336,5.932881666666667,0.0261435,85.19266666666667,0.4584143333333333
insertionsort,C++,50000,12.420115000000001,6.631123666666667,0.021820333333333334,97.75133333333333,0.5030301666666667
insertionsort,C++,100000,14.915756,7.93923925,0.0240935,114.073,0.60611525
insertionsort,Go,25000,3.4495850000000003,1.5169578333333333,0.0277915,56.254,0.1631295
insertionsort,Go,50000,3.410960166666667,1.5488381666666668,0.0101115,57.258,0.16008366666666665
insertionsort,Go,100000,3.790385,1.8034869999999998,0.011067666666666665,57.605333333333334,0.16970866666666665
insertionsort,Haskell,25000,302.29869583333334,158.56172683333332,0.16117366666666666,623.596,12.248399999999998
insertionsort,Haskell,50000,602.355367,317.6052345,0.23249299999999998,1081.942,24.3477
insertionsort,Haskell,100000,1234.6929323333334,650.901306,0.4419963333333334,2109.5480000000002,49.92250000000001
insertionsort,Rust,25000,226.46678683333334,120.17290233333334,0.09739166666666667,1082.302,9.158205
insertionsort,Rust,50000,475.06494133333337,253.02047716666667,0.18627916666666666,2175.4986666666664,19.193
insertionsort,Rust,100000,926.7457683333333,492.3927003333333,0.371582,4318.568,37.4945
insertionsort,Swift,25000,340.5186361666667,181.62390166666668,0.11840849999999999,144.32466666666667,13.843383333333334
insertionsort,Swift,50000,1194.2595825,640.088969,0.3870545,220.20933333333332,48.40173333333333
insertionsort,Swift,100000,315.28778066666666,161.64184566666665,0.13197833333333334,366.9373333333333,13.2059
mergesort,C,25000,2.7961731666666663,1.4188841666666667,0.02166766666666667,39.526666666666664,0.11770599999999999
mergesort,C,50000,3.695149666666667,1.8545429999999998,0.012838,44.355333333333334,0.159058
mergesort,C,100000,5.56680275,2.8944855,0.01344275,53.588,0.23124075
mergesort,C#,25000,12.915415333333334,6.846568,0.03603133333333333,65.072,0.5247818333333333
mergesort,C#,50000,13.6661375,7.318176333333334,0.019490499999999997,70.04666666666667,0.551752
mergesort,C#,100000,15.027201,8.033996666666667,0.01849366666666667,72.20400000000001,0.607843
mergesort,C++,25000,12.526153666666666,6.611674000000001,0.039815166666666665,87.42733333333332,0.5101943333333333
mergesort,C++,50000,13.607147166666666,7.277669166666667,0.021097666666666667,100.69866666666667,0.5499876666666667
mergesort,C++,100000,16.37625125,8.697937,0.02358975,116.749,0.6670659999999999
mergesort,Go,25000,3.5949298333333335,1.6308286666666667,0.01818866666666667,56.18666666666667,0.16693066666666667
mergesort,Go,50000,3.3289896666666667,1.6213786666666667,0.009836666666666667,55.410666666666664,0.14707766666666666
mergesort,Go,100000,3.531189,1.5049029999999999,0.011312000000000001,56.601333333333336,0.17429833333333333
mergesort,Haskell,25000,305.76279700000003,160.41509,0.15707416666666665,631.4246666666667,12.386783333333334
mergesort,Haskell,50000,609.3991293333333,321.10111466666666,0.22426350000000003,1084.7233333333334,24.656166666666667
mergesort,Haskell,100000,1229.7450766666668,647.8509116666667,0.4398596666666667,1880.0106666666668,49.731966666666665
mergesort,Rust,25000,226.46713250000002,120.27489233333334,0.09258016666666667,1104.9553333333333,9.155228333333334
mergesort,Rust,50000,465.6316935,247.65794883333334,0.189209,2199.4973333333332,18.828916666666668
mergesort,Rust,100000,910.7587279999999,484.06813566666665,0.3463336666666666,4364.532,36.8446
mergesort,Swift,25000,364.96231083333333,194.69583150000003,0.13942483333333333,145.50733333333332,14.826566666666666
mergesort,Swift,50000,1262.329722,675.7397155,0.40917966666666666,221.66066666666666,51.2158
mergesort,Swift,100000,352.78924566666666,180.79677333333333,0.154846,368.58933333333334,14.783633333333334
oddevensort,C,25000,2.518687,1.2828675,0.020955,38.660000000000004,0.10435016666666667
oddevensort,C,50000,3.4213663333333333,1.742055,0.015685833333333333,43.41133333333334,0.14458066666666666
oddevensort,C,100000,5.235138,2.72068775,0.0183105,52.487,0.2174785
oddevensort,C#,25000,12.958038333333334,6.9415285,0.014536666666666668,66.10133333333333,0.5233298333333334
oddevensort,C#,50000,13.6015115,7.269714333333333,0.015075833333333332,67.41133333333333,0.5523108333333333
oddevensort,C#,100000,15.125813666666668,8.106567333333333,0.008219666666666667,71.53866666666666,0.6120443333333333
oddevensort,C++,25000,11.330912166666666,6.018870166666666,0.026285666666666666,85.87133333333333,0.4589995
oddevensort,C++,50000,12.621114166666667,6.724711166666666,0.018483333333333334,99.20866666666666,0.5119106666666666
oddevensort,C++,100000,14.947916666666666,7.943705333333334,0.017211666666666667,115.068,0.6097933333333333
oddevensort,Go,25000,3.5384623333333334,1.5884705,0.020985833333333332,55.169333333333334,0.16532449999999999
oddevensort,Go,50000,3.5077618333333334,1.6973265,0.010793166666666666,56.67733333333334,0.15439366666666668
oddevensort,Go,100000,3.567952333333333,1.723572,0.012105333333333334,56.44533333333334,0.15745366666666666
oddevensort,Haskell,25000,284.6653646666667,149.70171100000002,0.140737,656.4493333333334,11.504983333333334
oddevensort,Haskell,50000,571.3746541666667,300.6643573333333,0.21622733333333333,1113.9526666666668,23.150516666666665
oddevensort,Haskell,100000,1137.8977663333333,599.4467370000001,0.4118043333333333,1917.5573333333334,46.022866666666665
oddevensort,Rust,25000,229.40590433333332,121.78167716666667,0.09618133333333334,1083.9460000000001,9.273433333333335
oddevensort,Rust,50000,489.64370733333334,260.262034,0.201182,2170.9513333333334,19.813233333333333
oddevensort,Rust,100000,975.7344763333334,518.5999756666666,0.37715666666666664,4329.1213333333335,39.48106666666667
oddevensort,Swift,25000,341.70601400000004,182.34293633333334,0.12173466666666666,143.72866666666667,13.881983333333332
oddevensort,Swift,50000,6.324259333333333,3.172007333333333,0.011179666666666666,87.06466666666667,0.27310816666666665
