Language,Algorithm,Size,Package,Core(s),GPU,Memory(MB),Time(sec)
Go,selectionsort,25000,3.367249,1.585083,0.012817,56.088,0.151358
Go,selectionsort,50000,3.782532,1.639954,0.015381,57.608,0.18429
Haskell,bubblesort,25000,301.410583,157.958130,0.135559,631.1,12.2762
Haskell,bubblesort,50000,605.468872,319.068787,0.248474,1109.592,24.4933
Haskell,cyclesort,25000,575.090210,302.642334,0.242920,715.148,23.2901
Haskell,cyclesort,50000,1160.551208,611.302490,0.416565,1156.736,46.9403
Haskell,heapsort,25000,302.198364,159.265808,0.127808,634.256,12.23
Haskell,heapsort,50000,624.205750,328.743286,0.249207,1109.796,25.2768
Haskell,insertionsort,25000,298.736816,157.325378,0.153931,671.344,12.0877
Haskell,insertionsort,50000,594.746704,313.455688,0.229858,1064.428,24.0355
Haskell,mergesort,25000,305.381409,161.286438,0.127747,615.112,12.3264
Haskell,mergesort,50000,609.391418,321.110901,0.219604,1048.18,24.6526
Haskell,oddevensort,25000,282.425537,148.883667,0.119568,610.892,11.424
Haskell,oddevensort,50000,569.868164,297.990295,0.220398,1113.456,23.2453
Haskell,quicksort,25000,302.443665,159.473816,0.134399,594.312,12.232
Haskell,quicksort,50000,606.573242,319.631592,0.220703,1039.556,24.5564
Haskell,selectionsort,25000,318.347595,167.481445,0.139221,640.144,12.9003
Haskell,selectionsort,50000,634.664124,334.580444,0.238464,1127.996,25.6595
Rust,bubblesort,25000,235.256226,125.346863,0.102600,1082.044,9.50203
Rust,bubblesort,50000,493.150940,262.545593,0.189392,2180.0,19.9211
Rust,cyclesort,25000,234.747742,125.019104,0.091675,1076.488,9.49333
Rust,cyclesort,50000,463.407227,246.508362,0.181030,2166.484,18.7468
Rust,heapsort,25000,224.855774,119.570496,0.102112,1078.844,9.10494
Rust,heapsort,50000,461.720703,245.547180,0.193054,2163.676,18.6879
Rust,insertionsort,25000,227.350342,120.979126,0.107666,1083.84,9.19499
Rust,insertionsort,50000,464.038025,247.106323,0.190552,2176.928,18.7458
Rust,mergesort,25000,224.054321,119.334717,0.102173,1108.368,9.0588
Rust,mergesort,50000,458.432434,243.921326,0.179260,2203.964,18.5284
Rust,oddevensort,25000,228.580750,121.776489,0.097290,1082.092,9.23183
Rust,oddevensort,50000,482.925537,257.085144,0.205017,2178.876,19.5261
